industrial,homebrew,capacitive,timestamp
999.0000,230,4785,2015-01-28T02:06:02.682Z
1005.0000,231,5235,2015-01-28T02:05:58.964Z
1005.0000,231,29755,2015-01-28T02:05:55.337Z
999.0000,230,28734,2015-01-28T02:05:51.711Z
1004.0000,231,29623,2015-01-28T02:05:48.086Z
1005.0000,230,29885,2015-01-28T02:05:44.460Z
1004.0000,231,8339,2015-01-28T02:05:40.834Z
1001.0000,231,8440,2015-01-28T02:05:37.217Z
1005.0000,231,5060,2015-01-28T02:05:33.582Z
1004.0000,231,5536,2015-01-28T02:05:29.959Z
1003.0000,231,4362,2015-01-28T02:05:26.335Z
995.0000,230,3115,2015-01-28T02:05:22.703Z
1003.0000,231,2943,2015-01-28T02:05:18.099Z
997.0000,231,3805,2015-01-28T02:05:13.962Z
1004.0000,232,4113,2015-01-28T02:05:10.332Z
1004.0000,231,1475,2015-01-28T02:05:06.701Z
1003.0000,232,0,2015-01-28T02:05:03.074Z
922.0000,232,384,2015-01-28T02:04:59.448Z
998.0000,231,14606,2015-01-28T02:04:55.824Z
1002.0000,231,5682,2015-01-28T02:04:52.200Z
997.0000,230,14301,2015-01-28T02:04:48.571Z
993.0000,230,0,2015-01-28T02:04:44.948Z
998.0000,232,608,2015-01-28T02:04:40.521Z
1002.0000,232,2374,2015-01-28T02:04:36.569Z
998.0000,230,2597,2015-01-28T02:04:32.943Z
1005.0000,232,2051,2015-01-28T02:04:29.316Z
1008.0000,232,1742,2015-01-28T02:04:25.693Z
1005.0000,232,1814,2015-01-28T02:04:22.063Z
1004.0000,231,1820,2015-01-28T02:04:18.477Z
999.0000,232,2098,2015-01-28T02:04:14.814Z
1005.0000,232,5695,2015-01-28T02:04:11.187Z
1004.0000,232,5329,2015-01-28T02:04:07.562Z
1004.0000,231,1,2015-01-28T02:04:03.869Z
999.0000,231,0,2015-01-28T02:04:00.187Z
1003.0000,231,6406,2015-01-28T02:03:56.560Z
1003.0000,231,2318,2015-01-28T02:03:52.933Z
1003.0000,232,0,2015-01-28T02:03:49.305Z
1006.0000,233,0,2015-01-28T02:03:45.685Z
1006.0000,232,4173,2015-01-28T02:03:42.056Z
1005.0000,232,3489,2015-01-28T02:03:38.431Z
1003.0000,232,3575,2015-01-28T02:03:34.804Z
1005.0000,232,3976,2015-01-28T02:03:31.177Z
1008.0000,233,3973,2015-01-28T02:03:27.550Z
995.0000,231,3867,2015-01-28T02:03:23.924Z
1004.0000,232,0,2015-01-28T02:03:20.299Z
1005.0000,232,84,2015-01-28T02:03:16.672Z
1005.0000,232,91,2015-01-28T02:03:13.046Z
996.0000,232,927,2015-01-28T02:03:09.435Z
1000.0000,231,0,2015-01-28T02:03:05.796Z
1000.0000,232,0,2015-01-28T02:03:02.169Z
1006.0000,232,0,2015-01-28T02:02:58.543Z
1004.0000,232,0,2015-01-28T02:02:54.883Z
1003.0000,232,2489,2015-01-28T02:02:51.168Z
1002.0000,232,2330,2015-01-28T02:02:47.542Z
994.0000,231,878,2015-01-28T02:02:43.927Z
1002.0000,233,135,2015-01-28T02:02:40.167Z
996.0000,232,3155,2015-01-28T02:02:36.421Z
1002.0000,232,0,2015-01-28T02:02:32.669Z
998.0000,233,13,2015-01-28T02:02:28.930Z
1004.0000,232,0,2015-01-28T02:02:25.291Z
987.0000,232,0,2015-01-28T02:02:21.665Z
1002.0000,232,0,2015-01-28T02:02:17.783Z
1001.0000,233,1054,2015-01-28T02:02:13.786Z
1006.0000,233,0,2015-01-28T02:02:09.909Z
1000.0000,232,0,2015-01-28T02:02:05.914Z
1004.0000,233,0,2015-01-28T02:02:01.905Z
1000.0000,233,0,2015-01-28T02:01:57.904Z
1000.0000,233,0,2015-01-28T02:01:54.036Z
999.0000,233,0,2015-01-28T02:01:50.168Z
987.0000,232,570,2015-01-28T02:01:46.327Z
992.0000,233,404,2015-01-28T02:01:42.400Z
1001.0000,233,0,2015-01-28T02:01:38.407Z
1005.0000,233,554,2015-01-28T02:01:34.530Z
1000.0000,233,97,2015-01-28T02:01:30.646Z
1000.0000,232,766,2015-01-28T02:01:26.648Z
999.0000,232,0,2015-01-28T02:01:22.772Z
999.0000,233,812,2015-01-28T02:01:13.650Z
1005.0000,233,3097,2015-01-28T02:01:08.523Z
993.0000,231,144,2015-01-28T02:01:04.270Z
1001.0000,232,0,2015-01-28T02:01:00.145Z
1000.0000,233,0,2015-01-28T02:00:55.401Z
1001.0000,233,0,2015-01-28T02:00:50.765Z
998.0000,232,0,2015-01-28T02:00:46.634Z
1003.0000,233,0,2015-01-28T02:00:42.406Z
1001.0000,232,0,2015-01-28T02:00:38.241Z
999.0000,232,0,2015-01-28T02:00:29.891Z
1006.0000,233,0,2015-01-28T02:00:24.504Z
998.0000,232,0,2015-01-28T02:00:19.265Z
999.0000,232,36,2015-01-28T02:00:15.262Z
1008.0000,233,0,2015-01-28T02:00:11.130Z
1006.0000,233,0,2015-01-28T02:00:06.029Z
997.0000,232,0,2015-01-28T02:00:01.938Z
1007.0000,234,0,2015-01-28T01:59:58.248Z
1001.0000,232,0,2015-01-28T01:59:54.621Z
1000.0000,232,0,2015-01-28T01:59:50.996Z
999.0000,232,1905,2015-01-28T01:59:47.371Z
1006.0000,233,0,2015-01-28T01:59:43.621Z
1008.0000,233,4936,2015-01-28T01:59:39.999Z
1006.0000,233,2414,2015-01-28T01:59:34.744Z
1005.0000,233,2232,2015-01-28T01:59:30.866Z
1000.0000,232,2077,2015-01-28T01:59:26.994Z
1002.0000,233,1374,2015-01-28T01:59:22.741Z
1008.0000,233,2748,2015-01-28T01:59:20.488Z
1001.0000,233,2934,2015-01-28T01:59:13.615Z
1006.0000,234,0,2015-01-28T01:59:09.517Z
998.0000,233,0,2015-01-28T01:59:04.984Z
1008.0000,235,0,2015-01-28T01:59:01.358Z
1004.0000,234,0,2015-01-28T01:58:57.732Z
1007.0000,235,0,2015-01-28T01:58:54.106Z
1006.0000,234,0,2015-01-28T01:58:50.481Z
1004.0000,235,0,2015-01-28T01:58:46.854Z
1007.0000,235,0,2015-01-28T01:58:43.229Z
1002.0000,234,0,2015-01-28T01:58:39.602Z
1007.0000,234,0,2015-01-28T01:58:35.978Z
1006.0000,234,0,2015-01-28T01:58:30.725Z
1005.0000,235,0,2015-01-28T01:58:27.104Z
1006.0000,235,0,2015-01-28T01:58:23.474Z
1001.0000,235,0,2015-01-28T01:58:19.848Z
1003.0000,235,0,2015-01-28T01:58:16.223Z
997.0000,233,0,2015-01-28T01:58:12.596Z
1006.0000,235,0,2015-01-28T01:58:07.219Z
1006.0000,234,0,2015-01-28T01:58:03.480Z
1008.0000,235,0,2015-01-28T01:57:59.020Z
1003.0000,234,0,2015-01-28T01:57:54.971Z
1002.0000,235,0,2015-01-28T01:57:49.842Z
1002.0000,236,0,2015-01-28T01:57:46.215Z
1002.0000,235,0,2015-01-28T01:57:40.963Z
1004.0000,235,0,2015-01-28T01:57:37.337Z
1002.0000,234,0,2015-01-28T01:57:33.711Z
1008.0000,236,0,2015-01-28T01:57:30.085Z
1007.0000,235,0,2015-01-28T01:57:26.459Z
996.0000,234,0,2015-01-28T01:57:21.353Z
1003.0000,235,0,2015-01-28T01:57:06.958Z
1006.0000,235,94,2015-01-28T01:57:02.149Z
990.0000,236,0,2015-01-28T01:56:58.327Z
975.0000,236,0,2015-01-28T01:56:54.716Z
992.0000,235,89,2015-01-28T01:56:51.075Z
1003.0000,236,0,2015-01-28T01:56:47.450Z
1004.0000,235,0,2015-01-28T01:56:43.824Z
1005.0000,235,3037,2015-01-28T01:56:40.202Z
1004.0000,236,3009,2015-01-28T01:56:36.572Z
1002.0000,236,3000,2015-01-28T01:56:32.946Z
1005.0000,236,2987,2015-01-28T01:56:29.321Z
1004.0000,235,2980,2015-01-28T01:56:25.694Z
1003.0000,236,576,2015-01-28T01:56:22.074Z
1001.0000,235,372,2015-01-28T01:56:18.448Z
1005.0000,236,496,2015-01-28T01:56:14.816Z
1005.0000,236,414,2015-01-28T01:56:10.911Z
1005.0000,236,381,2015-01-28T01:56:06.713Z
